[[0.47525849335302806, 0.38350785090812123, 0.41221980750621345, 0.27850077892316655],
[0.4675036927621861, 0.37610739807278076, 0.4054375068047415, 0.2770901230999436],
[0.47673559822747413, 0.3760289588796353, 0.41008176121098794, 0.2816063239136063],
[0.4841211225997046, 0.37743214512004314, 0.41498230886700804, 0.2852864858952725],
[0.6222304283604135, 0.517653176132656, 0.6032092713098844, 0.4183000186744872],
[0.6322008862629247, 0.5287925170120691, 0.6102080915248365, 0.4208233739902358],
[0.7042097488921714, 0.5496109624264216, 0.640026988222288, 0.5227657659682614],
[0.7208271787296898, 0.5522198102162703, 0.6444514667493132, 0.5167482913969271],
[0.6388478581979321, 0.5302905804791569, 0.6113672210108072, 0.42062247943600567],
[0.6366322008862629, 0.5297661233359794, 0.6088902387179556, 0.41319165635701327],
[0.6362629246676514, 0.5262332781386309, 0.6076489303774494, 0.4102834040247133],
[0.6366322008862629, 0.5269998778813386, 0.6081460120615665, 0.41085311660812],
[0.6687592319054653, 0.5397741327692814, 0.6501861150662493, 0.4353542790743682],
[0.6698670605612999, 0.537673090495975, 0.6501070593469739, 0.4258987360492556],
[0.6661742983751846, 0.5296012096868737, 0.6368143929320171, 0.4275678587834551],
[0.6676514032496307, 0.5308785119180587, 0.636242212888582, 0.4264897717169535]]
